text,label
"Barem su bili dio Gruovih misija i zlih planova u prva dva , ali sad su ih odvojili od njega , a film se svakako često svodi na njih kako bi mogli pokazati svoju smiješnu stranu .",1
"Povrh toga tu je i drama s Katinom mamom Carol koja ima problema s mentalnim zdravljem , Sereninim trenerom Mitchom , pa čak i Justinovim roditeljima .",0
Još jedan film Transformers ?,1
Trajanje filma : 01 : 57 : 00,1
Što bi se dogodilo Aliti ?,1
"Sinoć je na red došao ovaj , animirani …",1
Sviđali su mi se likovi Aidena Shawa i oca Chucka koji su pružali radost kad god bi se pojavili .,2
Godina 2016,1
"Richard the Stork produciran je u nekoliko europskih studija u Njemačkoj , Luksemburgu , Norveškoj i Belgiji koji pokušavaju da postanu slavni poput Disneyevog studija .",1
Srpanj 2014 . . b,1
Postoje mnogi filmovi koji imaju zanimljivu pozadinsku priču od one koju govore na ekranu .,1
"Ovaj film postavljen je u vrlo dalekoj budućnosti ( 28 . stoljeće ) gdje je Alpha , svemirska stanica koja je nastala iz zemlje , izrasla na mjestu gdje su mnoge vrste diljem galaksije živjele u harmoniji već dugi niz godina .",1
"Koji koriste ekstremne krupne planove papira i prelazeći imena s popisa , kao i lijepo prikazujući prolazak vremena .",2
"I teško ribu u vodu natjerat ’ , odnosno mene natjerati na animirani film , pa mi je prethodno večer bilo upotpunjeno baš na način na koji ja to volim .",2
Žanr : Akcija | Avantura | Drama | Recenzija Serija,1
Titlovan Trailer Filma :,1
"Ostali likovi bili su vrlo važni , poput Alfredovih prijatelja koji su obično pružali pomoć , ili njegovih roditelja koji su kasnije imali značajnu ulogu , kao i naravno troje ljudi iz društva Ravana .",1
KRAJ SPILERA,1
Godina 2017,1
"Žanr : Akcija , Krimi , Drama , Recenzije Serija",1
"Izrađeni su jako dobro , gdje su pazili da kostimi stvarno izgledaju dobro na likovima .",2
"Žanr : Akcija , SF",1
"Film je bio jedan od onih “ toliko loših da je to smiješno za filmove ” a trebalo je da bude ozbiljan SCi-FI , ali ispostavilo se da je upravo suprotno .",0
"O , bio je samo jedan crossover lik iz druge serije kao i što me čini da nisam imao osjećaj kontinuiteta s ostalima .",0
"Većina radnje se odvija u labarotoriju i ništa konkretno se ne dešava , likovi su jednodimenzinalni a negativcu je dato premalo premalo vremena da bude zaseban lik koji će nekome zapasti za oko i koji će imati svoje fanove poput ‘ Lokija ’ iz ‘ Thora ’ .",0
Godzilla ( 2014 ),1
"Kada ljudi pokušaju izvršiti invaziju na njegov dom Arktiku , polarni medvjed Norm dolazi u New York da sruši korporaciju koja je zadužena za to .",1
"One variraju od snage prijateljstva , koju pokazuju protagonisti koji uvijek pomažu jedni drugima , na važnost odnosa između majki i djece .",2
"Režiju novog nastavka serijala potpisuje redateljica Čejen Černić , scenarij je napisala Hana Jušić .",1
Trajanje filma : 02 : 12 : 00,1
"Od svih glumačkih dostignuća niko ne može , pa ni veteran Hopksin , prevazići Hiddelstona .",1
Hype !,1
Ono što me natjeralo da izgubim zainteresiranost za seriju zapravo su dijelovi koji uključuju Lewisov karakter .,0
"Bez ičega novog , bez buđenja ikakvih osjećanja u nama osim možda razočarenja , tog gorkog osjećanja , ‘ Sutrozemlja ’ je sve , samo ne nešto što će te žuriti da pogledate ponovo ili nekome preporučite .",0
"Sedma epizoda ; odbrana je shvatila svoj posao preozbiljno , a mlada braniteljica Chandra kojoj je ovo prvi slučaj , odlično radi svoj posao .",1
"Nakon što su primili grupu misterioznih poruka i veoma čudnu mapu , grupa prijatelja se odlučuje krenuti u avanturu kako bi zadnju noć svojih prijateljstava proveli zajedno .",1
"Istina , i dalje pretjeruju u nekim scenama , dok u nekim scenama se jasno pokazuje nedostatak novca ( neke scene su jako mutne da izgledaju kao da su još uvijek u fazi planiranja ) .",0
"Ima još nešto u filmu , taj neki hladan i nezainteresovan nastup glumaca i kad se to doda uz sve ovo što sam naveo onda slijedi jedna stara bosanska a to je ” pametnom je išaret dosta ” .",0
Trajanje filma : 01 : 53 : 00,1
Prebacuje se iz obiteljske drame na film na putovanju do sci-fi akcije .,1
"Kao što se ispostavilo , do trenutka kada sam napisao ovaj post , film je zaradio manje od polovice njegovog proračuna za produkciju .",0
– a neki dijelovi su potpuno izostavljeni što filmu daje osjećaj nepotpunosti .,0
"Žanr : Crime , Drama , Thriller",1
"Iskreno , bio sam pomalo sumnjičav jer se činilo da djeluje poput natprirodnog tipa horora , ali jednom kad sam je počeo gledati , to je bilo drugačije od onoga što sam očekivao .",1
"Gledatelji se prepuštaju emocionalnom zahvatu odmah , ne samo kad imaju vlastitu djecu i možda se neprestano pitaju : što bih učinio u ovoj situaciji ?",2
"Uostalom , treba nam vise vremena i truda da bi s njima stvorili dublji odnos .",0
Isto tako je s Romulom .,1
Ovo uistinu nije vaš uobičajeni film o invaziji vanzemaljaca gdje se ljudi uvijek bore protiv vanzemaljaca od početka do kraja .,1
Trajanje filma : 01 : 23 : 00,1
Godina : 2021,1
"Zapravo je stvarna snaga Run On-a , zajedno s dobro napisanim ansamblom , koliko je koristan ovaj zaključak .",2
"Redatelj : Anthony Russo , Joe Russo",1
"Glavne uloge : Michael Fassbender , Noomi Rapace , Katherine Waterston , James Franco , Callie Hernandez , Carmen Ejogo , Guy Pearce , Billy Crudup",1
Datum izlaska : 17 July 2017,1
"Uhvaćen između toga da bude provokativna misao , vizualno upečatljiva znanstveno-fantastična romansa , Bliss se bori da kohezivno poveže ova dva koncepta .",0
Trajanje filma : 01 : 38 : 00,1
Tu recenziju možete pogledati na ovom linku http : / / dftm.blogger.ba / arhiva / 2012 / 07 / 23 / 3349087 .,1
Datum izlaska : 11.08.2017 ( svjetska premijera ),1
"Ocjena na IMDb.com mu je 6,8 / 10 a na Tomatoesima 74% .",1
"Svi ostali likovi su manje više ( pre ) ozbiljni , da ne kažem težu riječ – dosadni .",0
"Na toj razini , međutim , Westworld ima i određene nedostatke , prije svega zbog toga što Delosovo osoblje uključuje nekoliko likova koji nisu dovoljno dobro razrađeni , i čija je sudbina na samom kraju iritantno nejasna .",0
Tijekom istrage otkrili bi da je slučaj ( i kasniji slučajevi ) povezan s paranormalnim i natprirodnim elementima .,0
Srpanj 2016 . .,1
To je zaintrigiralo i druge učenike koji su također htjeli doživjeti ovo .,1
"U međuvremenu je Bode koji je volio istraživati veliku kuću otkrio da ima puno tajni , posebno tajanstvene ključeve koji imaju čarobne učinke .",1
I Brodie-Sangster je sjajan u ulozi .,2
"Međutim razlika u odnosu na original je što je ovaj Gargamel mnogo zabavniji , čak šta više on i njegova mačka Azrael pružaju dosta humora u filmu .",2
"Tu je također pomogla kamerama Janusa Kamińskog , koji je sada neodvojiv tandem sa Spielbergom .",1
I nisam uživao ni za Trishov karakterni razvoj .,0
"Dakle , ako mrzite gole ljude , nemojte ovo gledati .",1
") , Wall ( Ólafur Darri Ólafsson ) i Toshi ( TV serije Masi Oka – Heroes , Hawaii Five O serije i sl . ) .",1
"Ali na stazi iza mitskog blaga je zloslutni IOI , na čelu sa Sorrento , koji želi dobiti OASIS za sebe .",1
"Sam početak nagovještava da će se raditi o dinamičnom i u djelovima , napetom filmu i doista dobar nagovještaj , jer je tip filma koji će vas prikovati uz sebe i koji će proći kod vas , vjerujem , bez obzira na neke apsurdnosti i na neke propuste koje olako pravi .",1
"Riječ je dakle , o animiranoj komediji koja nikako nije za djecu , čak štaviše , na mnogim sajtovima ćete pronaći kako film preporučuju isključivo starijima od šesnaest godina .",1
Ocjena : 6 / 10,1
Pogotovo kad stvari pođu po zlu .,0
Na Metacriticu ima rezultat od 65 / 100 .,1
"U tome , doduše , danas više nije sam , ali time što je prokrčio put za AMC , Netflix i druge studije , odnosno time sebi može priuštiti da izbaci 100 milijuna dolara ili druge donedavne nezamislive svote na pilot ili gotove sezone TV-serije se ističe u mnogo čemu na isti način na koji se u zlatna hollywoodska vremena MGM , poznat po svojim raskošnim mjuziklima i filmskim epovima “ većim od života ” isticao među drugim poslovnim carstvima losanđeleske tvornice snova .",1
Redatelj : James Mangold,1
I tako je i izašao u kina u sjeni većih i ozbiljnijih blockubustera .,1
Ne smijete da propustite scene .,1
B i H 09.11.2017 .,1
Također je postojala i jedna iznenađujuća scena koju sam osobno osjećao pomalo smiješnim u epizodi 9 .,0
Pa kako se priča zaključila ?,1
"Topao i prijatan , ‘ Peanuts Movie ’ je većinom za malu djecu , ali može poslužiit kao zabavna lekcija i za odrasle .",2
Radnja serije : Las Encinas je najekskluzivnija škola u zemlji – gdje Elita šalje svoju decu da uče .,1
"Glavne uloge : Jean-Michel Cousteau ( book ) , Albert Falco ( book )",1
"Osim toga , sviđa mi se činjenica da su u životu Tyronea i Tandyja bili i drugi likovi zbog kojih se prva sezona nije u potpunosti usredotočila na romantiku , kao što sam se brinuo da će to biti .",2
Uz pomoć Charlieovog susjeda Memo ( Jorge Lendeborg Jr .,1
"Ako to nije dovoljno , Anderson se oslanja previse na jeftini skok .",0
"Ovaj potpuno animirani pristup daje vizualima mnogo bolju energiju , te dopušta Štrumpfovima da budu mnogo zanimljiviji nego što su to imali prilike biti u stvarnom svijetu .",2
U Americi ga je neko nagradio sa 17 miliona dolara na nepoznat budžet .,1
Stoga nismo vidjeli kako će se priča razvijati .,0
"Dogovaram ja sa društvom već duže vremena da idem u kino jer nismo bili već par mjeseci … Danas ćemo , sutra ćemo i onda se svi ušute , a meni da je što prije , ali sve gledam da to bude dok se prikazuje neki film koji me zaintrigirao .",1
"Ne znam šta bih više dodao niti oduzeo , osim toplog savjeta da ni ne pomišljate da pogledate ovo mrcvarenje , ovaj splet nesretnih okolnosti , ovo psihološku torturu i zločin nad umjetnošću .",0
"Ximi : Žena je upravo probodena harpunom , pa je sin pita : — Does it hurt ?",0
Ovo je bila zanimljiva serija znanstvene fantastike .,2
Pa ovaj film je imao stvarno super početak .,2
"Dakle , glavni problem je bio manjak komedije , a višak akcije , što je nemoguće za zamisliti zbog reditelja koji stoji iza ovog filma i zbog ekipe koju je poslio , jer je on poznat dobro kako barata tim žanrovima i odlično ih komponuje , no sam ga đavo natjera da uradi nešto zbog čega će pljuvati , a što neće biti vrijedno pljuvanja .",0
"Gledaoci su dobili pogodak , rezanje ruku i obezglavljivanje .",0
Nisam ja naravno aplicirao za to nego sam išao kao podrška jednoj bliskoj osobi ( koja je btw .,1
Datum izlaska : 12 .,1
"I Williams je , naravno , dobar u ulozi .",2
Uistinu su bili uočljivi njezini različiti izrazi poput gledanja u protivnike dok bi ih pritisla ili očigledna ljutnja kad je poražena ili tijekom njezinih sretnih / frustriranih vremena .,1
"Sherlock Holmes i njegov pomoćnik , Dr . Watson su smješteni ovoga puta u 1890te i pokušavaju otkriti misteriju ” Mladenke ” .",1
"To uključuje posjetitelje parka , koji , barem na prvi pogled , igraju trećerazrednu ulogu .",1
Trajanje filma : 01 : 00 : 00,1
Žanr : Akcija | Krimi | Drama | Recenzija Serija,1
"Glavne uloge : Tchéky Karyo , Anastasia Hille , James Nesbitt",1
Ant-Man and the Wasp,1
"Zaključno , ako ste u potrazi za teškom , umo izazovnom , serijom znanstvene fantastike o svijetu s androidima i njihovom svjesnošću , u kombinaciji s raznim scenama i velikom glumom , onda je to definitivno za vas .",1
Dokaz tome bio je smijeh u kinodvorani na svaki njegov monolog ili dijalog .,2
Ocjena : 5 / 10,1
"Prije svega , ko ne voli blockbustere , pucnjavu , vanzemaljce i Toma Cruisea , nek ’ odstupi , a ko voli , nek se približi .",1
"Tada , kad joj se to počelo pokazivati od malih nogu , bilo je zaista intrigantno kako će postati osoba koju smo ranije vidjeli .",1
Zemlja : South Korea,1
"Sada , povedena hrabrošću , želi spasiti Peetu i podstaknuti naciju na pobunu protiv Kapitola .",1
Redatelj : Wes Ball,1
Ovo je dosta kratka serija .,1
"sa svojim najboljim prijateljima iz prethodnog vremena u maze Newt ( Thomas Brodie-Sangster – Love , Actually , Death of a Superhero i sl . )",1
Odlučio sam da pišem recenziju ovako kasno još dok su utisci friški .,1
"Žanr : Akcija , Krimi , Drama , Recenzije Serija",1
Priča iz prvog lica nije mi do sad bila tako zanimljiva .,1
"U rano , jedna posebna kamera snimljena u nesreći s motociklima nevjerojatno je elegantna i samo za to Elite zaslužuje neke zasluge .",2
Hrvatska 09.03.2017 .,1
"Uz vokalnu potporu kao što su Theron i McConaughey , ovaj film samo je ubrao još više pluseva i osigurao sebi dosta prostora za pohvale i preporuke , a mali Art Parkinson koji tumači Kuba , također je odličan u posuđivanju glasa",2
U kinima od :,1
"Sve u svemu , apsolutno sam mrzio Kin .",0
Tamo su tri tinejdžera radne grupe upravo primljene nakon zemljotresa,1
Film je širom svijeta zaradio preko 507 miliona dolara na budžet od 160 miliona .,2
i Richard Price ( kao scenarista filma ” Ransom ” itd . ),1
"Glavne uloge : Charlize Theron , Rooney Mara , Matthew McConaughey",1
"Ali sigurno znam da podržava Dolby Atmos , pa ako tražite sjajne zvučne efekte koji će vas pratiti , bilo bi bolje da ga vidite u takvim kinima .",1
"U većini epizoda pojavljuju se mjehurići dramske ličnosti na ovim različitim događajima , i bez obzira je li to Halloween party u igrama ili dobrotvorni događaj na krovu , u tim trenucima sve drame sagrađene u toj epizodi dolaze do izražaja .",2
"Claire će kasnije pristati da spasi neke vrste od strane Eli Mills-a ( Rafe Spall – The BFG , Get Santa itd .",1
Studeni 2016 .,1
Ocjena 8 / 10,2
Ja osobno nikada nisam bio fan stalnih muzičkih tačaka koje su animirane filmove pretvarale u mjuzikle i bilo mi je nekako draga da se taj trend počeo zaboravljati .,1
"“ The Son of Bigfoot ” , je šesti igrani film Belgijskog redatelja Ben Stassena koji je globalni pionir u 3D animiranom filmu , došao je igrati u kina kako bi konkurirao međunarodnim produkcijama , kako europskim tako i američkim .",1
Trajanje filma : 02 : 49 : 00,1
Karakter međusobnih odnosa je glavni korijen film zabave .,2
"Ali oni imaju mnogo više zajedničkog , kao što će uskoro otkriti .",1
"U međuvremenu , Joy , koji je imao osjećaj bliznosti , bio je malo sumnjičav i pomislio je da bi to doista mogao biti Danny koji se “ vratio ” iz mrtvih .",1
"Crichton nije bio stranac znanstvene fantastike jer je bio pisac romana kao što su Jurassic Park , Sphere , Timeline i tako dalje .",1
